author,points_sum,points in 2017,points in 2018,points in 2019,points in 2020,points in 2021,points in 2022,points in 2023
United States,22225483.516666763,3546495.0,3985447.0,3959270.0,3690627.0,3070371.9166667,2902109.333333381,1071163.26666668
United Kingdom,6960367.41666668,1262467.0,950857.0,1051476.0,932945.0,1110577.41666668,1261565.33333333,390479.66666667
Puerto Rico,3897874.5714285485,386155.0,403642.0,606895.0,754092.0,618777.238095279,931540.333333321,196772.999999949
Canada,3412773.0833333847,475727.0,493913.0,294865.0,622287.0,684643.08333336,604765.50000003,236572.499999995
Colombia,2134156.666666678,302171.0,339339.0,317316.0,380267.0,297137.333333346,263111.833333331,234814.500000001
Australia,973105.83333332,116525.0,122936.0,156783.0,147136.0,252634.0,133041.33333333,44050.49999999
Spain,956955.999999986,155814.0,148823.0,161594.0,104823.0,97574.499999986,202643.5,85684.0
South Korea,839371.899999954,16070.0,43000.0,64198.0,163352.0,171986.33333331998,238058.66666666,142706.899999974
Brazil,548193.999999957,39142.0,42670.0,21941.0,35621.0,164966.000000008,164628.999999979,79224.99999997
France,455875.166666748,139703.0,72068.0,33055.0,53586.0,50259.5,51159.5,56044.166666748
Sweden,441119.83333333,123339.0,94684.0,51632.0,36440.0,85557.33333333,45737.5,3730.0
Mexico,435674.99999999895,3794.0,79027.0,17290.0,5606.0,47306.666666683,56392.0,226259.333333316
Germany,432665.91666665,77298.0,38504.0,129704.0,65228.0,65285.66666666,34860.75,21785.49999999
Argentina,384297.33333329303,0.0,32450.0,76148.0,20294.0,110842.333333333,92509.0,52053.99999996
Netherlands,354938.0,57356.0,70566.0,62370.0,9769.0,112981.0,34735.0,7161.0
Cuba,333940.0,58202.0,100200.0,63931.0,49694.0,30137.5,22583.0,9192.5
Italy,287743.41666667396,29.0,20285.0,47763.0,40514.0,127806.99999998,42180.75,9164.666666694
Norway,265302.5,119697.0,55127.0,31537.0,24072.0,28645.5,2940.0,3284.0
Panama,179329.428571427,0.0,0.0,39470.0,56516.0,77361.095238096,5973.333333331,9.0
Venezuela,177984.5,52099.0,45840.0,25100.0,16144.0,11492.0,27309.5,0.0
Dominican Republic,165326.0,13478.0,51686.0,22979.0,10388.0,51858.0,7717.0,7220.0
Nigeria,154691.83333332802,13365.0,5104.0,2128.0,3553.0,39536.833333303,71432.33333336,19572.666666664998
Jamaica,141700.25,20989.0,10681.0,15355.0,18385.0,5566.25,54407.0,16317.0
Russia,113341.0,61403.0,26452.0,13157.0,1666.0,0.0,612.0,10051.0
Ireland,108673.0,53586.0,3398.0,13110.0,4333.0,21956.0,6134.0,6156.0
Denmark,83838.0,56559.0,14248.0,12971.0,60.0,0.0,0.0,0.0
New Zealand,82145.0,33184.0,0.0,0.0,36271.0,12690.0,0.0,0.0
Kosovo,79499.0,0.0,68.0,19204.0,50125.0,10102.0,0.0,0.0
Barbados,61179.5,25349.0,2138.0,74.0,4877.0,140.0,10587.0,18014.5
Morocco,56612.0,24092.0,23206.0,7986.0,406.0,922.0,0.0,0.0
Philippines,49113.499999998,13346.0,5104.0,31.0,15.0,17570.333333333,12401.5,645.666666665
Belgium,44067.5,1881.0,212.0,4486.0,3027.0,10358.5,23807.0,296.0
India,43039.99999995701,0.0,0.0,0.0,0.0,17954.0,23242.999999958,1842.999999999
Thailand,42330.0,0.0,0.0,0.0,0.0,28877.0,13259.0,194.0
Japan,39129.0,860.0,1071.0,1035.0,2081.0,2300.0,21066.0,10716.0
Israel,36280.0,0.0,35385.0,716.0,0.0,0.0,0.0,179.0
Chili,31213.5,0.0,0.0,1392.0,11299.0,0.0,15048.5,3474.0
Lithuania,28648.0,0.0,15776.0,12802.0,1.0,69.0,0.0,0.0
Indonesia,22174.5,0.0,33.0,18.0,0.0,217.5,8813.0,13093.0
Scotland,19944.0,0.0,0.0,0.0,0.0,16272.0,3672.0,0.0
Turkey,16497.0,10006.0,0.0,1604.0,109.0,226.0,4254.0,298.0
Unknown,11830.66666666,0.0,6477.0,885.0,0.0,0.0,0.0,4468.6666666599995
Ghana,11375.666666680001,0.0,0.0,0.0,0.0,8205.666666680001,3170.0,0.0
South Africa,7958.5,1476.0,0.0,0.0,6395.0,10.0,77.5,0.0
Albania,7297.0,5117.0,1896.0,252.0,0.0,32.0,0.0,0.0
Pakistan,6288.0,0.0,0.0,0.0,0.0,0.0,2604.0,3684.0
Kazakhstan,6262.5,0.0,0.0,0.0,50.0,98.5,6114.0,0.0
Austria,5544.99999999,659.0,1421.0,441.0,0.0,1111.99999999,1778.0,134.0
Solomon Islands,4437.0,0.0,0.0,0.0,0.0,4437.0,0.0,0.0
Finland,3147.0,32.0,0.0,0.0,174.0,548.0,0.0,2393.0
Ukraine,2648.5,379.0,218.0,176.0,244.0,1071.5,560.0,0.0
Swiss,2420.0,0.0,0.0,115.0,1410.0,305.0,0.0,590.0
Romania,2111.0,0.0,30.0,0.0,0.0,2081.0,0.0,0.0
Cameroon,1568.0,0.0,0.0,0.0,1568.0,0.0,0.0,0.0
Portugal,1166.000000004,163.0,0.0,0.0,0.0,687.000000004,316.0,0.0
Ivory Coast,859.0,0.0,0.0,0.0,0.0,0.0,859.0,0.0
Iceland,603.0,309.0,0.0,0.0,0.0,294.0,0.0,0.0
China,450.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0
Greece,428.0,0.0,253.0,0.0,0.0,175.0,0.0,0.0
Ecuador,324.0,184.0,0.0,0.0,0.0,140.0,0.0,0.0
Haiti,249.5,0.0,0.0,0.0,0.0,11.5,54.0,184.0
Czech Republic,170.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0
Moldavia,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,84.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0
Malta,76.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0
ALGERIA,70.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
Republic of Congo,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
Senegal,62.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0
Poland,56.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0
Azerbaijan,45.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
Sri Lanka,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
Lebanon,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Bonaire,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Suecia,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
